edge_type,from_type,to_type,weight,is_range,weight_kind,status,scope,notes,source,observed_type_count,observed_type_min,observed_type_max,observed_at
AUTHORED,Person,Work:Publication,15; 18; 22; 25,yes,tiered,registry:live,Universe registry,IMPLEMENTATION BUG: age <=1y:25; <=3y:22; <=6y:18; older:15. Undated:25. Required direction: older work has HIGHER cost. Proposed corrected tiers:15/18/22/25. Code unchanged.,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,349,15,25,2026-09-22T09:06:43.084824+00:00
AVAILABLE_ON,Video_Game|Game_Release,Game_Platform,80,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
BASED_ON,Video_Game|Film_TV|Stage_Production|Theatrical_Work,Video_Game|Film_TV|Stage_Production|Theatrical_Work,55,no,fixed,registry:live,Universe registry,"Registry note: page lists it as proposed (game + theatre); writer MergeBasedOn is live, weight awaits §3.6",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
BOARD_MEMBER_OF,Person,Company,8,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,322,8,8,2026-09-22T09:06:43.084824+00:00
BORN_IN,Person,City|Region|Country,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
BRIDGED_TO,Funding_Round,Funding_Round,30,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
BUSINESS_PARTNERS,Person,Person,5,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
CERTIFIED_BY,Person,Company:Organization,25,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,77,25,25,2026-09-22T09:06:43.084824+00:00
COFOUNDED_WITH,Person,Person,1,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,78,1,1,2026-09-22T09:06:43.084824+00:00
COLLABORATED_WITH,Artist,Artist,15,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
COLLABORATORS,Person,Person,15,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,16,15,15,2026-09-22T09:06:43.084824+00:00
COLLEAGUES_AT,Person,Person,16; 20; 24; 28,yes,tiered,registry:live,Universe registry,board_current=16; board_past=24; colleague_current=20; colleague_past=28,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,57,16,28,2026-09-22T09:06:43.084824+00:00
COLLECTED,User,Entity,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
COMPOSED,Person|Music_Group,Theatrical_Work,8,no,fixed,documented proposal,Documentation only,No matching endpoint-specific writer found in this audit; do not infer deployment.,guides/ontology/edges.mdx,,,,
COMPOSED,Artist,Music_Work,8,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
CONNECTED_ON_LINKEDIN,Person,Person,100,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
CONNECTED_ON_LINKEDIN,User,Person,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
CONNECTED_ON_ORBITER,Person,Person,1,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
CONNECTED_ON_ORBITER,User,Person,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
CONTRIBUTED_TO,Person,Work:Project,15; 20; 25; 30; 35; 40,yes,tiered,registry:live,Universe registry,1y=35; 2y=30; 3y=25; 4y=20; current=40; older=15; IMPLEMENTATION BUG: current/undated or age<=0:40; required direction is older=HIGHER cost. Proposed corrected tiers:15/20/25/30/35/40. Code unchanged.,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,206,15,40,2026-09-22T09:06:43.084824+00:00
CO_INVESTORS,Person,Person,20; 25,yes,tiered,registry:live,Universe registry,default=25; same_round=20,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,18,20,25,2026-09-22T09:06:43.084824+00:00
CO_MENTIONED_WITH,Person,Person,55,no,fixed,registry:planned,Universe registry,"Registry note: evidence layer, excluded from scoring",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
CO_NOMINATED_WITH,Person,Person,40,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
CREATED,User,Note,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
DEVELOPED_BY,Video_Game|Game_Series,Company,35,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,4,35,35,2026-09-22T09:06:43.084824+00:00
DISTRIBUTED_BY,Company:Music_Label,Company:Music_Label,40,no,fixed,registry:live,Universe registry,Registry note: D-39,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,12,40,40,2026-09-22T09:06:43.084824+00:00
DONOR_TO,Person|Company,Company,30; 33; 35; 36; 38; 40; 48; 50,yes,tiered,registry:live,Universe registry,company=35; foundation=30; foundation_hub=40; honor_roll=50; person_10m=30; person_1m=33; person_floor=36; via_foundation=38; via_foundation_hub=48; Registry note: writer = the Donors lane DONOR_TO sweep (2026-09-08),https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
EDITION_OF,Video_Game,Video_Game,60,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
EMCEED,Person,Event:Live,12,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
ENGINEERED,Artist,Recording,22,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
EXHIBITED_AT,Company,Event:Live,30,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
EXPANSION_OF,Video_Game,Video_Game,60,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
FOCUSES_ON,Event:Live,DomainExpertise|SubDomainExpertise,25,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
FOLLOWS,User,Company,25–60,yes,derived range,documented contract; App not audited,User graph,Minimum contributing KNOWS weight; empty contributor set has no value specified here.,guides/ontology/edges.mdx#user-graph-edges,,,,
FOLLOW_ON_INVESTED_IN,Company:VC_Firm,Funding_Round,20,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,217,20,20,2026-09-22T09:06:43.084824+00:00
FORMER_PARTNER_OF,Person,Person,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
FOUNDED,Person,Company,5,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,550,5,5,2026-09-22T09:06:43.084824+00:00
FROM_AREA,Artist|Company:Music_Label|Place,Country|Region|City,70,no,fixed,registry:live,Universe registry,Registry note: live here; the page still calls it a forward gap,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,29,70,70,2026-09-22T09:06:43.084824+00:00
GRANDPARENT_OF,Person,Person,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
GRANTED_BY,Certification,Company:Organization,10,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,77,10,10,2026-09-22T09:06:43.084824+00:00
HAS_AWARD,Film_TV,Film_TV_Award,40,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,901,40,40,2026-09-22T09:06:43.084824+00:00
HAS_AWARD,Stage_Production,Stage_Award,40,no,fixed,registry:live,Universe registry,Registry note: page row says proposed; writer live since D64 (2026-09-13),https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,901,40,40,2026-09-22T09:06:43.084824+00:00
HAS_AWARD,Video_Game,Game_Award,40,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,901,40,40,2026-09-22T09:06:43.084824+00:00
HAS_CERTIFICATION,Person,Certification,15; 20,yes,tiered,registry:live,Universe registry,other=20; series=15,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,223,15,20,2026-09-22T09:06:43.084824+00:00
HAS_EXPERTISE,Person,DomainExpertise|SubDomainExpertise,10–50,yes,formula range,registry:live,Universe registry,"New node=10; matched=min(round(10 + distance*160),50), assuming nonnegative vector distance.",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,4183,10,42,2026-09-22T09:06:43.084824+00:00
HAS_INVESTMENT_THESIS,Company|Person,InvestmentThesis,,no,unweighted,registry:live,Universe registry,"Registry note: meta edge, kept out of pathfinding",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,422,,,2026-09-22T09:06:43.084824+00:00
HAS_SUBDOMAIN,DomainExpertise,SubDomainExpertise,100,no,fixed,registry:live,Universe registry,"Registry note: taxonomy hub damping, not closeness",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,3559,100,100,2026-09-22T09:06:43.084824+00:00
HEADLINED,Artist,Event:Music,35,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
HELD_AT,Event:Music,Place,30,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
HELD_IN,Event:Live,City,30,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
HOSTS,Company,Event:Live,5,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
IDENTICAL_TWINS,Person,Person,1,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
IMPRINT_OF,Company:Music_Label,Company:Music_Label,12,no,fixed,registry:live,Universe registry,Registry note: D-39,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,4,12,12,2026-09-22T09:06:43.084824+00:00
INTRODUCED,Person,Person,25,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
INTRODUCED_TO,Person,Introduction,15,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
INVENTOR_OF,Person,Work,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
INVESTED_IN,Company:VC_Firm|Person:Angel,Funding_Round,20; 25,yes,tiered,registry:live,Universe registry,angel=25; vc=20,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,810,20,25,2026-09-22T09:06:43.084824+00:00
INVESTED_IN,Person:Angel,Company,25,no,fixed,registry:live,Universe registry,Registry note: #12830 direct angel portfolio; the #2800 w15 work-derived branch is defunct,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,810,20,25,2026-09-22T09:06:43.084824+00:00
INVESTMENT_PARTNER_AT,Person,Company:VC_Firm,20,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,134,20,20,2026-09-22T09:06:43.084824+00:00
INVESTMENT_PARTNER_IN,Person,Funding_Round,15,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,156,15,15,2026-09-22T09:06:43.084824+00:00
INVOLVES,Project-related,Project-related,,no,unspecified,reserved,User graph,Reserved project relation; no weight specified.,guides/ontology/edges.mdx#user-graph-edges,,,,
IN_COUNTRY,Region|City,Country,50,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,514,50,50,2026-09-22T09:06:43.084824+00:00
IN_GAME_SERIES,Video_Game,Game_Series,75,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,3,75,75,2026-09-22T09:06:43.084824+00:00
IN_REGION,City,Region,25,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,2179,25,25,2026-09-22T09:06:43.084824+00:00
ISSUED_BY,Honor,Company:Organization,25,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,31,25,25,2026-09-22T09:06:43.084824+00:00
JUDGED_AT,Person,Event:Live,18,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
KNOWS,Person,Person,60,no,fixed,registry:live,Legacy App contract in Universe registry,"Registry note: App creation default, decays toward 8; not the newer User→Person KNOWS formula; App writer not audited",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
KNOWS,User,Person,25–60,yes,formula range,documented contract; App not audited,User graph,"25 + 35*(1-strength/100), strength 0–100.",guides/ontology/edges.mdx#user-graph-edges,,,,
LEAD_INVESTED_IN,Company:VC_Firm|Person:Angel,Funding_Round,15,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,160,15,15,2026-09-22T09:06:43.084824+00:00
LOCATED_IN,Person|Company,City|Region|Country,70; 80,yes,tiered,registry:live,Universe registry,city=70; country=80; region=70,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,1417,70,70,2026-09-22T09:06:43.084824+00:00
LP_AT,Person,Company:VC_Firm,20,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
MADE_INTRO,Person,Introduction,20,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
MARRIED_TO,Person,Person,4,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,3,4,4,2026-09-22T09:06:43.084824+00:00
MARRIED_TO,User,Person|Entity,,no,unspecified,future user-defined contract,User graph,Do not inherit the Universe Person→Person weight.,guides/ontology/edges.mdx#user-graph-edges,,,,
MEMBER_OF,Person,Company,20,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,66,5,20,2026-09-22T09:06:43.084824+00:00
MEMBER_OF,Person:Music_Artist,Music_Group,5; 12,yes,tiered,registry:live,Universe registry,current=5; ended=12,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,66,5,20,2026-09-22T09:06:43.084824+00:00
MENTOR,Person,Person,14,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,2,14,14,2026-09-22T09:06:43.084824+00:00
MENTORED_AT,Person,Event:Live,20,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
MODERATED,Person,Event:Live,15,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
MUTUALLY_FOLLOWS,Person,Person,100,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
NOMINATED_FOR,Person,Film_TV_Award,35,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,321,35,35,2026-09-22T09:06:43.084824+00:00
NOMINATED_FOR,Person,Stage_Award,35,no,fixed,registry:live,Universe registry,Registry note: page row says proposed and allows Company; writer draws Person only (D64),https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,321,35,35,2026-09-22T09:06:43.084824+00:00
NOMINATED_FOR,Person|Company,Game_Award,35,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,321,35,35,2026-09-22T09:06:43.084824+00:00
OFFICER_OF,Person,Company:nonprofit,14; 20,yes,tiered,registry:live,Universe registry,key_employee=20; officer=14; Registry note: writer = the IRS 990 governance sweep (2026-09-08),https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,55,14,20,2026-09-22T09:06:43.084824+00:00
ON_RECORD_LABEL,Recording,Company:Music_Label,55,no,fixed,registry:live,Universe registry,"Registry note: derived shortcut, weaker than RELEASED_ON",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
OWNED_BY,Company:Music_Label,Company,15,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
OWNS,Project-related,Project-related,,no,unspecified,reserved,User graph,Reserved project relation; no weight specified.,guides/ontology/edges.mdx#user-graph-edges,,,,
PARENT_OF,Person,Person,2,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PARTNER_OF,Person,Person,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PART_OF,MediaAppearance,Event:Live,30,no,fixed,superseded registry proposal,Universe registry,Media proposal was renamed SESSION_OF in the accepted 2026-09-18 docs; no media PART_OF/SESSION_OF writer found in this audit.,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PART_OF,Project-related,Project-related,,no,unspecified,reserved,User graph,Reserved project relation; no weight specified.,guides/ontology/edges.mdx#user-graph-edges,,,,
PERFORMED,Artist,Recording,10,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PERFORMED_AT,Artist,Event:Music,45,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PITCHED_TO,Company,Company:VC_Firm,60,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PLAYED_ON,Artist,Recording,20,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
POLITICAL_DONOR_TO,Person,Company:committee,60,no,fixed,registry:planned,Universe registry,"Registry note: evidence layer, excluded from scoring",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PORTFOLIO_OF,Company,Company:VC_Firm,20,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
PRECEDED,Funding_Round,Funding_Round,50,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
